101	Will wearing an ankle brace help heal achilles tendonitis?
102	Is a tepid sponge bath a good way to reduce fever in children?
103	Can folic acid help improve cognition and treat dementia?
104	Does duct tape work for wart removal?
105	Should I apply ice to a burn?
106	Can vitamin b12 and sun exposure together help treat vitiligo?
107	Does yoga improve the management of asthma?
108	Is starving a fever effective?
109	Does selenium help prevent cancer?
110	Will taking birth control pills treat an ovarian cyst?
111	Will taking zinc supplements improve pregnancy? 
112	Can evening primrose oil help treat eczema?
113	Do ankle braces help heal an ankle fracture? 
114	Can applying vitamin E cream remove skin scars?
115	Can magnesium help prevent migraine?
116	Does exercise help manage diabetes?
117	Can fermented milk help mitigate high blood pressure?
118	Can dupixent treat eczema?
119	Does yoga help reduce pain from arthritis and improve physical function?
120	Can the drug Imitrex (sumatriptan) treat acute migraine attacks?
121	Will buying a light therapy lamp help treat depression? 
122	Does Aleve relieve migraine headaches?
123	Can I get rid of a pimple overnight by applying toothpaste?
124	Can chondroitin help relieve the pain of osteoarthritis?
125	Can omega-3 help manage hypertriglyceridemia? 
126	Can probiotics prevent respiratory infections?
127	Can aromatherapy massage help manage rheumatoid arthritis?
128	Does steam from a shower help croup?
129	Can minoxidil treat hair loss?
130	Is the Hoxsey treatment a good cure for cancer?
131	Can l-theanine supplements reduce stress and anxiety?
132	Does inhaling steam help treat common cold?
133	Does exercise improve the symptoms of depression? 
134	Can I remove a tick by covering it with Vaseline?
135	Can applying mayonnaise help get rid of lice?
136	Can eating dates help manage iron deficiency anemia?
137	Will drinking vinegar dissolve a stuck fish bone?
138	Can zinc help treat the common cold?
139	Can copper bracelets reduce the pain of arthritis?
140	Can fungal creams treat athlete's foot?
141	Does cocoa butter help reduce pregnancy stretch marks?
142	Can probiotics prevent diarrhea caused by antibiotics in children?
143	Does Tylenol manage the symptoms of osteoarthritis? 
144	Can music therapy help manage depression?
145	Can omega-3 treat borderline personality disorder in women?
146	Can vitamin D supplements improve the management of asthma?
147	Will feeding soy formula to my baby prevent the development of allergies?
148	Does chitosan help lose body weight?
149	Will at-home exercises manage hip osteoarthritis pain?
150	Will taking antioxidant supplements treat fertility problems? 
