101	ankle brace achilles tendonitis
102	tepid sponge bath reduce fever children
103	folic acid dementia
104	duct tape warts
105	put ice on a burn
106	vitamin b12 sun exposure vitiligo
107	yoga asthma
108	starve a fever, feed a cold
109	selenium cancer
110	birth control pill ovarian cysts treatment
111	zinc supplements pregnancy
112	evening primrose oil eczema
113	ankle brace broken ankle
114	vitamin e cream for skin scars
115	magnesium migraine prevention
116	exercise diabetes
117	fermented milk blood pressure
118	dupixent eczema
119	yoga arthritis
120	imitrex migraine
121	light therapy lamp depression
122	aleve migraine
123	toothpaste pimple overnight
124	chondroitin supplement osteoarthritis joint disorder
125	omega-3 fatty acids hypertriglyceridemia
126	probiotics prevention respiratory infections
127	aromatherapy massage rheumatoid arthritis
128	steam shower croup
129	minoxidil balding hair growth
130	hoxsey treatment
131	l-theanine supplements anxiety
132	inhaling steam common cold
133	exercise depression
134	remove tick with vaseline
135	mayonnaise lice treatment
136	dates iron deficiency anemia
137	vinegar fish bone stuck
138	zinc common cold
139	copper bracelets reduce pain
140	fungal cream athlete's foot
141	cocoa butter reduce pregnancy stretch marks
142	probiotics child diarrhea caused by antibiotics 
143	tylenol osteoarthritis
144	music therapy depression
145	omega 3 borderline personality disorder
146	vitamin d asthma attacks
147	baby soy formula prevent allergies
148	chitosan weight loss
149	hip osteoarthritis at-home exercises
150	antioxidant supplements fertility
